date,MW
1,1834.9886363636363
2,2076.503787878788
3,2214.693181818182
4,2178.443181818182
5,2203.8977272727275
6,2206.723484848485
7,2241.965909090909
8,2238.155303030303
9,2206.9280303030305
10,2233.9848484848485
11,2163.8560606060605
12,2118.181818181818
13,2158.284090909091
14,2246.568181818182
15,2232.556818181818
16,2263.776515151515
17,2244.5795454545455
18,2269.382575757576
19,2241.9886363636365
20,2251.9166666666665
21,2311.3522727272725
22,2307.4204545454545
23,2280.8636363636365
24,2324.621212121212
25,2309.2083333333335
26,2302.780303030303
27,2288.068181818182
28,2286.382575757576
29,2226.901515151515
30,2228.598484848485
31,2295.1060606060605
32,2209.155303030303
33,2189.098484848485
34,2240.5492424242425
35,2265.090909090909
36,2228.9204545454545
37,2230.875
38,2225.3977272727275
39,2217.367424242424
40,2256.435606060606
41,2283.3901515151515
42,2292.75
43,2226.9772727272725
44,2204.003787878788
45,2193.3257575757575
46,2210.5227272727275
47,2226.151515151515
48,2207.909090909091
49,2189.4772727272725
50,2236.435606060606
51,2226.181818181818
52,2191.5719696969695
53,2175.276515151515
54,2171.746212121212
55,2214.943181818182
56,2184.5454545454545
57,2165.253787878788
58,2169.4242424242425
59,2189.712121212121
60,2138.962962962963
61,2158.034090909091
62,2175.9242424242425
63,2140.7954545454545
64,2115.8295454545455
65,2129.284090909091
66,2072.4583333333335
67,2033.3358778625955
68,2014.7338403041824
69,1985.4541984732825
70,1957.0570342205324
71,1960.8593155893536
72,1983.277566539924
73,1973.2015209125475
74,1947.3522727272727
75,1964.2272727272727
76,1950.8560606060605
77,1936.469696969697
78,1911.1136363636363
79,1950.0871212121212
80,1968.314393939394
81,1931.7689393939395
82,1968.0454545454545
83,1963.3863636363637
84,1926.2272727272727
85,1934.405303030303
86,1938.844696969697
87,1930.5833333333333
88,1921.6174242424242
89,1888.8333333333333
90,1832.5416666666667
91,1808.3863636363637
92,1795.5703422053232
93,1810.9809885931559
94,1844.3863636363637
95,1847.5227272727273
96,1848.2613636363637
97,1837.0795454545455
98,1810.1666666666667
99,1763.7424242424242
100,1772.503787878788
101,1800.1363636363637
102,1807.719696969697
103,1823.060606060606
104,1793.9772727272727
105,1830.8484848484848
106,1775.5151515151515
107,1764.4318181818182
108,1756.4166666666667
109,1763.0416666666667
110,1782.4734848484848
111,1773.1969696969697
112,1764.2878787878788
113,1757.6515151515152
114,1787.25
115,1793.1818181818182
116,1798.5227272727273
117,1785.6060606060605
118,1756.6780303030303
119,1754.6022727272727
120,1743.1742424242425
121,1777.003787878788
122,1780.2348484848485
123,1791.4886363636363
124,1805.2575757575758
125,1785.189393939394
126,1762.2424242424242
127,1766.0681818181818
128,1820.5378787878788
129,1834.314393939394
130,1828.4469696969697
131,1863.628787878788
132,1833.185606060606
133,1820.003787878788
134,1761.8863636363637
135,1798.7272727272727
136,1810.3295454545455
137,1806.5530303030303
138,1794.375
139,1771.9015151515152
140,1814.5265151515152
141,1842.25
142,1877.4015151515152
143,1859.625
144,1867.6325757575758
145,1860.090909090909
146,1902.1439393939395
147,1910.8977272727273
148,1941.314393939394
149,2001.378787878788
150,2061.0113636363635
151,2072.9772727272725
152,2072.564393939394
153,1999.689393939394
154,1933.25
155,1934.030303030303
156,1989.1666666666667
157,2025.9507575757575
158,2099.2954545454545
159,2130.7045454545455
160,2128.8257575757575
161,2110.318181818182
162,2089.810606060606
163,2117.1136363636365
164,2137.901515151515
165,2123.7045454545455
166,2094.0113636363635
167,2128.8219696969695
168,2207.8636363636365
169,2189.125
170,2143.4545454545455
171,2166.435606060606
172,2249.8333333333335
173,2300.875
174,2245.064393939394
175,2185.193181818182
176,2236.337121212121
177,2267.3598484848485
178,2277.443181818182
179,2220.348484848485
180,2130.5795454545455
181,2062.0113636363635
182,1996.9469696969697
183,1955.814393939394
184,1961.810606060606
185,1893.7916666666667
186,1973.1477272727273
187,2115.6363636363635
188,2199.909090909091
189,2261.4242424242425
190,2267.337121212121
191,2266.5
192,2245.7954545454545
193,2263.7386363636365
194,2248.715909090909
195,2254.9242424242425
196,2298.0416666666665
197,2321.7272727272725
198,2411.219696969697
199,2451.75
200,2433.3939393939395
201,2365.632575757576
202,2377.715909090909
203,2328.7348484848485
204,2315.0719696969695
205,2307.098484848485
206,2298.4242424242425
207,2317.7916666666665
208,2333.3219696969695
209,2314.6742424242425
210,2289.882575757576
211,2260.007575757576
212,2310.2007575757575
213,2392.223484848485
214,2437.5416666666665
215,2402.0151515151515
216,2357.7916666666665
217,2316.7916666666665
218,2272.6060606060605
219,2315.757575757576
220,2363.284090909091
221,2373.753787878788
222,2371.087121212121
223,2271.7310606060605
224,2220.935606060606
225,2211.2272727272725
226,2151.2651515151515
227,2154.0416666666665
228,2189.8939393939395
229,2217.7954545454545
230,2235.5113636363635
231,2304.3030303030305
232,2276.1742424242425
233,2205.8295454545455
234,2199.0833333333335
235,2238.5492424242425
236,2264.685606060606
237,2261.1098484848485
238,2223.215909090909
239,2216.056818181818
240,2232.030303030303
241,2251.7651515151515
242,2218.715909090909
243,2174.4204545454545
244,2167.9848484848485
245,2152.1401515151515
246,2106.8219696969695
247,2045.4318181818182
248,2062.4469696969695
249,2042.2234848484848
250,2062.1477272727275
251,2103.8030303030305
252,2078.276515151515
253,2058.810606060606
254,1997.6704545454545
255,1953.4469696969697
256,1943.2916666666667
257,1952.0265151515152
258,1874.530303030303
259,1829.8560606060605
260,1803.2310606060605
261,1871.378787878788
262,1909.8522727272727
263,1917.3030303030303
264,1959.1174242424242
265,1939.875
266,1942.1742424242425
267,1923.8333333333333
268,1903.3825757575758
269,1879.469696969697
270,1843.878787878788
271,1845.435606060606
272,1814.9469696969697
273,1794.253787878788
274,1758.5757575757575
275,1818.8598484848485
276,1871.3825757575758
277,1885.6704545454545
278,1891.4166666666667
279,1872.4469696969697
280,1838.530303030303
281,1826.9469696969697
282,1827.9128787878788
283,1807.2689393939395
284,1804.9166666666667
285,1828.9242424242425
286,1807.905303030303
287,1807.5416666666667
288,1788.2007575757575
289,1810.2424242424242
290,1824.6931818181818
291,1822.9166666666667
292,1830.560606060606
293,1817.534090909091
294,1821.9166666666667
295,1811.3257575757575
296,1837.939393939394
297,1862.2765151515152
298,1855.4545454545455
299,1852.0378787878788
300,1840.4242424242425
301,1875.25
302,1867.0684410646388
303,1890.4220532319391
304,1884.7083333333333
305,1886.9318181818182
306,1900.0415094339623
307,1885.996183206107
308,1886.2851711026617
309,1850.855513307985
310,1883.2471482889734
311,1894.6197718631179
312,1880.371212121212
313,1890.2689393939395
314,1897.5871212121212
315,1919.9204545454545
316,1910.3030303030303
317,1925.9431818181818
318,1940.0681818181818
319,1953.1818181818182
320,1965.3636363636363
321,1990.905303030303
322,2034.7234848484848
323,2010.2234848484848
324,2008.9621212121212
325,2001.0265151515152
326,1949.0227272727273
327,1907.375
328,1893.905303030303
329,1928.340909090909
330,1885.189393939394
331,1899.314393939394
332,1934.5568181818182
333,1956.6515151515152
334,2018.0795454545455
335,2070.412878787879
336,2109.3219696969695
337,2106.7613636363635
338,2130.2083333333335
339,2147.837121212121
340,2225.753787878788
341,2244.1439393939395
342,2227.5227272727275
343,2198.943181818182
344,2167.5399239543726
345,2162.3030303030305
346,2195.6363636363635
347,2177.367424242424
348,2164.2272727272725
349,2153.162878787879
350,2178.0113636363635
351,2179.912878787879
352,2197.2272727272725
353,2209.837121212121
354,2175.2613636363635
355,2116.2992424242425
356,2084.473484848485
357,2055.068181818182
358,1890.5795454545455
359,1770.1136363636363
360,1855.284090909091
361,1928.2651515151515
362,1948.5871212121212
363,1939.3333333333333
364,1955.060606060606
365,1887.0719696969697
366,2016.4375
